realtime_start,realtime_end,date,value,year_ago_value,yoy_pct_change
2025-04-20,2025-04-25,2020-04-01,98.4,,
2025-04-20,2025-04-25,2020-05-01,98.1,,
2025-04-20,2025-04-25,2020-06-01,98.8,,
2025-04-20,2025-04-25,2020-07-01,98.6,,
2025-04-20,2025-04-25,2020-08-01,98.4,,
2025-04-20,2025-04-25,2020-09-01,99.3,,
2025-04-20,2025-04-25,2020-10-01,100.3,,
2025-04-20,2025-04-25,2020-11-01,100.2,,
2025-04-20,2025-04-25,2020-12-01,99.3,,
2025-04-20,2025-04-25,2021-01-01,98.6,,
2025-04-20,2025-04-25,2021-02-01,96.9,,
2025-04-20,2025-04-25,2021-03-01,98.0,,
2025-04-20,2025-04-25,2021-04-01,98.3,98.4,-0.10162601626017126
2025-04-20,2025-04-25,2021-05-01,99.0,98.1,0.9174311926605563
2025-04-20,2025-04-25,2021-06-01,99.4,98.8,0.6072874493927213
2025-04-20,2025-04-25,2021-07-01,99.636,98.6,1.0507099391480745
2025-04-20,2025-04-25,2021-08-01,99.516,98.4,1.1341463414634143
2025-04-20,2025-04-25,2021-09-01,99.266,99.3,-0.034239677744201225
2025-04-20,2025-04-25,2021-10-01,100.331,100.3,0.030907278165509387
2025-04-20,2025-04-25,2021-11-01,99.816,100.2,-0.3832335329341321
2025-04-20,2025-04-25,2021-12-01,100.111,99.3,0.8167170191339448
2025-04-20,2025-04-25,2022-01-01,100.189,98.6,1.6115618661257591
2025-04-20,2025-04-25,2022-02-01,97.923,96.9,1.0557275541795625
2025-04-20,2025-04-25,2022-03-01,99.547,98.0,1.5785714285714256
2025-04-20,2025-04-25,2022-04-01,98.928,98.3,0.6388606307222788
2025-04-20,2025-04-25,2022-05-01,99.841,99.0,0.8494949494949434
2025-04-20,2025-04-25,2022-06-01,100.148,99.4,0.7525150905432499
2025-04-20,2025-04-25,2022-07-01,100.469,99.636,0.8360431972379446
2025-04-20,2025-04-25,2022-08-01,99.467,99.516,-0.049238313437041874
2025-04-20,2025-04-25,2022-09-01,100.687,99.266,1.4315072633127075
2025-04-20,2025-04-25,2022-10-01,99.517,100.331,-0.8113145488433356
2025-04-20,2025-04-25,2022-11-01,97.495,99.816,-2.32527851246293
2025-04-20,2025-04-25,2022-12-01,97.894,100.111,-2.2145418585370225
2025-04-20,2025-04-25,2023-01-01,100.566,100.189,0.37628881414128257
2025-04-20,2025-04-25,2023-02-01,101.76,97.923,3.9183848534052297
2025-04-20,2025-04-25,2023-03-01,101.745,99.547,2.208002250193384
2025-04-20,2025-04-25,2023-04-01,101.038,98.928,2.1328643053533876
2025-04-20,2025-04-25,2023-05-01,102.063,99.841,2.2255386063841596
2025-04-20,2025-04-25,2023-06-01,102.486,100.148,2.3345448735870993
2025-04-20,2025-04-25,2023-07-01,102.617,100.469,2.1379729070658717
2025-04-20,2025-04-25,2023-08-01,103.48,99.467,4.034503905818015
2025-04-20,2025-04-25,2023-09-01,103.137,100.687,2.4332833434306345
2025-04-20,2025-04-25,2023-10-01,104.018,99.517,4.522845343006727
2025-04-20,2025-04-25,2023-11-01,102.503,97.495,5.1366736755731015
2025-04-20,2025-04-25,2023-12-01,104.19,97.894,6.431446258197634
2025-04-20,2025-04-25,2024-01-01,103.673,100.566,3.0895133544140156
2025-04-20,2025-04-25,2024-02-01,103.607,101.76,1.815055031446535
2025-04-20,2025-04-25,2024-03-01,104.54,101.745,2.7470637377758136
2025-04-20,2025-04-25,2024-04-01,106.167,101.038,5.076307923751465
2025-04-20,2025-04-25,2024-05-01,107.51,102.063,5.336899757992615
2025-04-20,2025-04-25,2024-06-01,110.028,102.486,7.359053919559747
2025-04-20,2025-04-25,2024-07-01,113.937,102.617,11.031310601557239
2025-04-20,2025-04-25,2024-08-01,112.288,103.48,8.51178971781986
2025-04-20,2025-04-25,2024-09-01,113.43,103.137,9.979929608191053
2025-04-20,2025-04-25,2024-10-01,114.78,104.018,10.346286219692747
2025-04-20,2025-04-25,2024-11-01,115.077,102.503,12.26695804025248
2025-04-20,2025-04-25,2024-12-01,113.959,104.19,9.376139744697193
2025-04-20,2025-04-25,2025-01-01,113.328,103.673,9.312935865654511
2025-04-20,2025-04-25,2025-02-01,114.153,103.607,10.178848919474559
2025-04-20,2025-04-25,2025-03-01,113.94,104.54,8.99177348383393
