realtime_start,realtime_end,date,value,year_ago_value,inflation
2025-04-19,2025-04-19,2020-04-01,256.032,,
2025-04-19,2025-04-19,2020-05-01,255.802,,
2025-04-19,2025-04-19,2020-06-01,257.042,,
2025-04-19,2025-04-19,2020-07-01,258.352,,
2025-04-19,2025-04-19,2020-08-01,259.316,,
2025-04-19,2025-04-19,2020-09-01,259.997,,
2025-04-19,2025-04-19,2020-10-01,260.319,,
2025-04-19,2025-04-19,2020-11-01,260.911,,
2025-04-19,2025-04-19,2020-12-01,262.045,,
2025-04-19,2025-04-19,2021-01-01,262.639,,
2025-04-19,2025-04-19,2021-02-01,263.573,,
2025-04-19,2025-04-19,2021-03-01,264.847,,
2025-04-19,2025-04-19,2021-04-01,266.625,256.032,4.137373453318342
2025-04-19,2025-04-19,2021-05-01,268.404,255.802,4.926466563983083
2025-04-19,2025-04-19,2021-06-01,270.71,257.042,5.317418943207728
2025-04-19,2025-04-19,2021-07-01,271.965,258.352,5.269167647240973
2025-04-19,2025-04-19,2021-08-01,272.752,259.316,5.1813231732712355
2025-04-19,2025-04-19,2021-09-01,273.942,259.997,5.363523425270288
2025-04-19,2025-04-19,2021-10-01,276.528,260.319,6.2265912207714385
2025-04-19,2025-04-19,2021-11-01,278.824,260.911,6.8655595202961965
2025-04-19,2025-04-19,2021-12-01,280.806,262.045,7.159457345112467
2025-04-19,2025-04-19,2022-01-01,282.542,262.639,7.578082463000531
2025-04-19,2025-04-19,2022-02-01,284.525,263.573,7.949220898953991
2025-04-19,2025-04-19,2022-03-01,287.467,264.847,8.540780148538593
2025-04-19,2025-04-19,2022-04-01,288.582,266.625,8.235161744022502
2025-04-19,2025-04-19,2022-05-01,291.299,268.404,8.530051713089216
2025-04-19,2025-04-19,2022-06-01,295.072,270.71,8.9992981419231
2025-04-19,2025-04-19,2022-07-01,294.94,271.965,8.447778206754556
2025-04-19,2025-04-19,2022-08-01,295.162,272.752,8.216255059541258
2025-04-19,2025-04-19,2022-09-01,296.421,273.942,8.205751582451754
2025-04-19,2025-04-19,2022-10-01,297.979,276.528,7.7572614708094525
2025-04-19,2025-04-19,2022-11-01,298.708,278.824,7.131380368978285
2025-04-19,2025-04-19,2022-12-01,298.808,280.806,6.410831677385814
2025-04-19,2025-04-19,2023-01-01,300.456,282.542,6.340296309929159
2025-04-19,2025-04-19,2023-02-01,301.476,284.525,5.9576487127669004
2025-04-19,2025-04-19,2023-03-01,301.643,287.467,4.931348641757137
2025-04-19,2025-04-19,2023-04-01,302.858,288.582,4.946947488062322
2025-04-19,2025-04-19,2023-05-01,303.316,291.299,4.125314539356468
2025-04-19,2025-04-19,2023-06-01,304.099,295.072,3.0592533347793034
2025-04-19,2025-04-19,2023-07-01,304.615,294.94,3.2803282023462437
2025-04-19,2025-04-19,2023-08-01,306.138,295.162,3.7186358677607547
2025-04-19,2025-04-19,2023-09-01,307.374,296.421,3.6950823322234365
2025-04-19,2025-04-19,2023-10-01,307.653,297.979,3.246537507676727
2025-04-19,2025-04-19,2023-11-01,308.087,298.708,3.139855644977691
2025-04-19,2025-04-19,2023-12-01,308.735,298.808,3.322200208829757
2025-04-19,2025-04-19,2024-01-01,309.794,300.456,3.1079425939238905
2025-04-19,2025-04-19,2024-02-01,311.022,301.476,3.1664212076583187
2025-04-19,2025-04-19,2024-03-01,312.107,301.643,3.4690014354717515
2025-04-19,2025-04-19,2024-04-01,313.016,302.858,3.3540471111874264
2025-04-19,2025-04-19,2024-05-01,313.14,303.316,3.238866396761138
2025-04-19,2025-04-19,2024-06-01,313.131,304.099,2.9700853998204475
2025-04-19,2025-04-19,2024-07-01,313.566,304.615,2.9384633061405263
2025-04-19,2025-04-19,2024-08-01,314.131,306.138,2.610914032233828
2025-04-19,2025-04-19,2024-09-01,314.851,307.374,2.4325414641446494
2025-04-19,2025-04-19,2024-10-01,315.564,307.653,2.5714034967967163
2025-04-19,2025-04-19,2024-11-01,316.449,308.087,2.7141684004842865
2025-04-19,2025-04-19,2024-12-01,317.603,308.735,2.87236626880658
2025-04-19,2025-04-19,2025-01-01,319.086,309.794,2.999412512831117
2025-04-19,2025-04-19,2025-02-01,319.775,311.022,2.8142703731568783
2025-04-19,2025-04-19,2025-03-01,319.615,312.107,2.4055852640280357
